,doc,sid,speaker,transcription,cleaned_transcription,translation,mix_to_spa,spa_to_mix
264,2009-11-26-d,2009-11-26-d_000038,Constantino Teodoro Bautista,"lu3u3 xi'4i4 mi3i4=na2 tan3 nde4e4 ba3=na2..., ndi'4i4 tu3ku(3)=a2 kan4 tan3 tu3ku3 ni3 ka'4an2 ta1 nda'4bi2 kum3pa4ri2=ra1 kan4 ji'4in4=ra2 ndi4",lu3u3 xi'4i4 mi3i4=na2 tan3 nde4e4 ndi'4i4 tu3ku(3)=a2 kan4 tan3 tu3ku3 ni3 ka'4an2 ta1 nda'4bi2 kum3pa4ri2=ra1 kan4 ji'4in4=ra2 ndi4,"sólo ellos estaban tomando. Cuando terminaron esa cerveza nuevamente el pobre hombre que era su compadre le volvió a decir,",1o1o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o,": Then another sentence we want to ask: when you say: on this holy Friday at half-time, at half-time holy, what does it mean?"
265,2009-11-26-d,2009-11-26-d_000039,Constantino Teodoro Bautista,"sa4-ni'1i4 ta'3an2=on4 i3nda14=e2 ko'3o(3)=2 ji'4in(4)=un4, na14ni(2)=a2 ko'3o(3)=2 ndi4 ta1 xi'4i4 ku4u4 mi3i4 ba(3)=2","sa4-ni'1i4 ta'3an2=on4 i3nda14=e2 ko'3o(3)=2 ji'4in(4)=un4, na14ni(2)=a2 ko'3o(3)=2 ndi4 ta1 xi'4i4 ku4u4 mi3i4 ba(3)=2","""Regálame una cerveza"". ""No alcanza para tí, yo también estoy tomando"", contestó el hombre.",O4R2 O4R2 O4R2 O4R4 O4R4 O4R4 O4R4 O4R4 O4R4 O4R4 O4R4 O4R4 O4R4 O4R4 O4R4 O4R4 O4R4 O4R4 O4R4 O4R4 O4R4 O4R4 O4R4 O4R5 O4R5 O4R5 O4R5 O4R5 O4R5 O4R5 O4R5 O4R5 O4R5 O4R5 O4R5 O4R5 O4R5 O4R5 O4R5 O4R5 O4R5 O4R5 O4R5 O4R5 O4R5 O4R5 O4R5 O4R5 O4R5 O4R5 O4R5 O4R5 O4R5 O4R5 O4R5 O4R5 O4R5 O4R5 O4R5 O4R5 O4O O4R5 O4R5 O4R5 O4O0,"is cured, then they can take him to the doctor for an injection and he is cured as if it were a normal disease,"
266,2009-11-26-d,2009-11-26-d_000040,Constantino Teodoro Bautista,"ba'1a3 na4 sa3kan4, tan3 i4-ndu'3u4 ba3 ta1 nda'4bi2","ba'1a3 na4 sa3kan4, tan3 i4-ndu'3u4 ba3 ta1 nda'4bi2","""Está bien"", contestó el pobre hombre y siguió ahí sentado.",3n4t1n4 3n4t2n4 3n4t2n4 3n4t2n4 3n4t4n4 3n4t4n4 3n4t1n4 3n4t1n4 3n4t1n4 3n4t1n4 3n4t1n4 3n4t1n4 3n4t1n4 3n4t1n4 3n4t1n4 3n4t1n4 3n4t1n4 3n4t1n4 3n4t1n4 3n4t1n4 3n4t1n4 3n4t1n4 3n4t1n4 3n4t1n4 3n4t1n4 3n4t1n4 3n4t1n4 3n4t1n4 3n4t1n4 3n4t1n4 3n4t1n4 3n4t1n4 3n4t1n3 3n4t1n3 3n4t3 3n4t3 3n4t3 3n4t3 3n4t3 3n4t3 3n4t3 3n4t3 3n4t3 3n4t3 3n4t3 3n4t3 3n4t3 3n3 3n4t3 3n4t3 3n3 3n4t3 3n4t3 3n4 3n4 3n4 3n4 3n4 3n,"said: ""The word means we're asking you to tell us exactly what we want to know."
267,2009-11-26-d,2009-11-26-d_000041,Constantino Teodoro Bautista,"tu3ku3 ni3 ka'4an2 ta1 ji'4in4 be'3e3 kan4 ji'4in4 ta1 xi4ka3 nde'14e4 kan4, chi3-ku3na(4)=on4 yu'3u4=a2 na4 ko'3o3 tu3ku3 yo4o4","tu3ku3 ni3 ka'4an2 ta1 ji'4in4 be'3e3 kan4 ji'4in4 ta1 xi4ka3 nde'14e4 kan4, chi3-ku3na(4)=on4 yu'3u4=a2 na4 ko'3o3 tu3ku3 yo4o4","Nuevamente el hombre de la casa le dijo a su acompañante, ""Abre otra, vamos a tomar"".",4o2o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o,": Yes, remove and put aside thoseñu1ka'4an4 because they're alive, those are the ones who misrepresent the word."
268,2009-11-26-d,2009-11-26-d_000042,Constantino Teodoro Bautista,"tan3 sa1a3=e2 nu1na4 yu'3u4, u1bi1 ba(3)=e2 nu1na4 yu'3u4","tan3 sa1a3=e2 nu1na4 yu'3u4, u1bi1 ba(3)=e2 nu1na4 yu'3u4","""¿Cuántas vamos a abrir?"", preguntó el hombre. ""Sólo dos"", contestó el hombre de la casa.",3n4o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o3o,": That's what that phrase says, if the person we're consulting is going to live on or if he's going to die, that's what it says."
269,2009-11-26-d,2009-11-26-d_000043,Constantino Teodoro Bautista,"ba'1a3 na4tu2 sa3kan4, tu3ku3 ni3 ka'4an2 ta1, ta1 ku4ni2 ko'3o3 kan4 ndi4 na4 sa4-ni'1i4 ta1 kan4 i3nga(2)=e2 ko'3o3 ta'3an2=ra1 ji'4in4 ta1 ña1a4...","ba'1a3 na4tu2 sa3kan4, tu3ku3 ni3 ka'4an2 ta1, ta1 ku4ni2 ko'3o3 kan4 ndi4 na4 sa4-ni'1i4 ta1 kan4 i3nga(2)=e2 ko'3o3 ta'3an2=ra1 ji'4in4 ta1","""Está bien"", contestó el hombre. Nuevamente el otro hombre le dijo que le regalaran una cerveza.",Las cuatro partes de la estructura de la estructura de la estructura de la estructura de la estructura de la estructura de la estructura de la estructura de la estructura de la estructura de la estructura de la estructura de la estructura de la estructura de la estructura de la estructura de la estructura de la estructura de la estructura de la estructura de la estructura de la estructura de la estructura de la estructura de la estructura de la estructura de la estructura de la estructura de la estructura de la estructura de la estructura de la estructura de la estructura de la estructura de la estructura de la estructura de la estructura de la estructura de la estructura de la estructura de la estructura de la estructura de la estructura de la estructura de la estructura de la estructura de la estructura de la estructura de la estructura de la estructura de la estructura de la estructura de la estructura de la estructura de la estructura de la estructura de la estructura de la estructura de la estructura de la estructura de la estructura de la estructura de la estructura de la estructura de la estructura de la estructura de la estructura de la estructura.,": And we keep doing the consultation, and now I have to know, I have to see, if he gives a confusing answer, it means the person has to die."
270,2009-11-26-d,2009-11-26-d_000044,Constantino Teodoro Bautista,ko14o(3)=a2 ndi4 na14ni(2)=a2 ndi4 ta1 xi'4i4 ku4u4 mi3i4 ba(3)=2 i4-ndu'3u4=2,ko14o(3)=a2 ndi4 na14ni(2)=a2 ndi4 ta1 xi'4i4 ku4u4 mi3i4 ba(3)=2 i4-ndu'3u4=2,"""No hay, no alcanza, sólo estamos tomando nosotros"".",Las cuentas de las cuentas de las cuentas de las cuentas de las cuentas de las cuentas de las cuentas de las cuentas de las cuentas de las cuentas de las cuentas de las cuentas de las cuentas de las cuentas de las cuentas de las cuentas de las cuentas de las cuentas de las cuentas de las cuentas de las cuentas de las cuentas de las cuentas de las cuentas de las cuentas de las cuentas de las cuentas de las cuentas de las cuentas de las cuentas de las cuentas de las cuentas de las cuentas de las cuentas de las cuentas de las cuentas de las cuentas de las cuentas de las cuentas de las cuentas de las cuentas de las cuentas de las cuentas de las cuentas de las cuentas de las cuentas de las cuentas de las cuentas de las cuentas de las cuentas de las cuentas de las cuentas de las cuentas de las cuentas de las cuentas de las cuentas de las cuentas de las cuentas de las cuentas de las cuentas de las cuentas de las cuentas de las cuentas de las cuentas de las cuentas de las cuentas de las cuentas de las cuentas de las cuentas de las cuentas de las cuentas de las cuentas de las cuentas de las cuentas de las cuentas de las cuentas de las cuentas de las cuentas de las cuentas de las cuentas de las cuentas de las cuentas de las cuentas de las cuentas de las cuentas de las cuentas de las cu,": Yes, the hand is the one that gives the answer, as we ask the question the hand is the one that tells us the answer, here look,"
271,2009-11-26-d,2009-11-26-d_000045,Constantino Teodoro Bautista,an4 nda14-ka'3an4 tu3 yo'4o1 ndi4 ki1bi4 xi'4i(4)=un4 ndi4 i3in(3)=a2 sa4ta2(4)=on4 tan3 xi'4i4 mi3i4 ba(3)=on4,an4 nda14-ka'3an4 tu3 yo'4o1 ndi4 ki1bi4 xi'4i(4)=un4 ndi4 i3in(3)=a2 sa4ta2(4)=on4 tan3 xi'4i4 mi3i4 ba(3)=on4,"""No recuerdas que cuando tomas sólo compras para tí"".",Mi4i4n mi4i1n mi4i1n mi4i1n mi4i4n mi4i4n mi4i1n mi4i1n mi4i1n mi4i1n mi4i1n mi4i4n mi4i3n mi3i3n mi3i2n mi4i4o mi3i3n mi3i4o mi3i4o mi3i4o mi3i4o mi3i4o mi3i4o mi3i4o mi3i4o mi3i4o mi3i4o mi3i4o mi3i4o mi3i4o mi3i4o mi3i4o mi3i4o mi3i4o mi3i4o mi3i4o mi3i4o mi3i4o mi3i4o mi3i4o mi3i4o mi3i4o mi3i4o mi3i4o mi3i4o mi3i4o mi3i4o mi3i4o mi3o mi3o mi3o mi3o mi3o mi3o mi3o mi3o mi3o mi3o mi3o mi3o mi3o mi3o mi3o mi3o mi3o mi3o mi3o mi3o mi3o mi3o mi3o mi3o mi3o mi3o mi3o mi3o mi3o mi3o mi3o mi3o mi3o mi3o mi3o mi,": ""I'm going to go to the place known as the pile, there I'm going to take a bath and I'm going to hide this doll in that area and you're going to look for it""."
272,2009-11-26-d,2009-11-26-d_000046,Constantino Teodoro Bautista,"ko14o3 na1 xi'4i4 ji'4in(4)=un4 ndi4 xi'4i4 mi3i4 ba(3)=on4, ka4chi2=ra1 ji'4in(4)=a2 ki'4bi3 ku4ni2, xi4kan1 ko'3o3 kan4","ko14o3 na1 xi'4i4 ji'4in(4)=un4 ndi4 xi'4i4 mi3i4 ba(3)=on4, ka4chi2=ra1 ji'4in(4)=a2 ki'4bi3 ku4ni2, xi4kan1 ko'3o3 kan4","""No invitas a nadie, sólo compras para tí"", le dijo al hombre que estaba pidiendo de tomar.",3R2C3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3R3RRR3RR3RRR3RRRRRR3RRRRRRRRRRRRRRR,"I sold four cattle and since it didn't make it I had to sell my drums to raise the money, and I gave it all to him as payment."
273,2009-11-26-d,2009-11-26-d_000047,Constantino Teodoro Bautista,"ba143 ta4xi3=ra2 ko'3o(3)=a2, ni1-ku3-na'3a4 ba3 nde4e4=na2, ja143 ka4chi2=ra1 ji'4in(4)=a2 ndi4","ba143 ta4xi3=ra2 ko'3o(3)=a2, ni1-ku3-na'3a4 ba3 nde4e4=na2, ja143 ka4chi2=ra1 ji'4in(4)=a2 ndi4","No le daba cervezas a ese hombre, después de un rato le dijo,",4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o,"said I'd drop you off at your house because you were dying, I felt sorry for you and brought you in and now you want to eat me""."
274,2009-11-26-d,2009-11-26-d_000048,Constantino Teodoro Bautista,"nda3-ka'3an4 ba(3)=on4 a1chi1 sa3kan4 ku4ni2=o4 ko'3o(3)=e4 na4 mi3i(4)=o4 xi4ka(3)=e4, xi'4i(4)=o4 tan3 yo'4o1 ndi4 o4ra2 xi'4i(4)=un4 ndi4 ba143 xa4xa(1)=e1 xi'4i(4)=un4 nu14u3 na1 *amigu**=un4","nda3-ka'3an4 ba(3)=on4 a1chi1 sa3kan4 ku4ni2=o4 ko'3o(3)=e4 na4 mi3i(4)=o4 xi4ka(3)=e4, xi'4i(4)=o4 tan3 yo'4o1 ndi4 o4ra2 xi'4i(4)=un4 ndi4 ba143 xa4xa(1)=e1 xi'4i(4)=un4 nu14u3 na1 amigu=un4","""Acuérdate que cuando uno anda tomando uno quiere que le inviten pero tú cuando tomas no invitas a tus amigos"".",Para 1a4n4=n4n4=n2=n2=n2=n2=n3=n3=n3=n3=n3=n3=n3=n3=n3=n3=n3=n3=n3=n4=n4=n3=n4=n3=n3=n4=n3=n3=n3=n3=n3=n3=n3=n3=n3=n3=n3=n3=n3=n3=n3=n3=n3=n3=n3=n3=n3=n3=n3=n3=n3=n3=n3=n3=n3=n3=n3=n3=n3=n3=n3=n3=n3=n3=n3=n3=n3=n3=n3=n3=n3=n3=n3=n3=n3=n3=n3=n3=n3=n3=n3=n3=n3=n3=n3=n3=n3=n3=n3=n3=n3=n3=n3=n3=n3=n3=n3=n3=n3=n3=n3=n3=n3=n3=n3=n3=n3=n3=n3=n3=n3=n3=n3=n,": Yeah, those are the ones who during their lifetime were able to do the same consultations as they're doing now, the ones who saw the light,"
275,2009-11-26-d,2009-11-26-d_000049,Constantino Teodoro Bautista,tan3 bi3tin3 ndi4 ya1 ka1a3 ndi4 sa3kan4 tu(3)=a2 ka1a3 ba3 ndi4 na14ni(2)=a2 ko'3o3 ba'1a3 bi4=2 ndi4 ta1 xi'4i4 ku4u4 yu'1u1,tan3 bi3tin3 ndi4 ya1 ka1a3 ndi4 sa3kan4 tu(3)=a2 ka1a3 ba3 ndi4 na14ni(2)=a2 ko'3o3 ba'1a3 bi4=2 ndi4 ta1 xi'4i4 ku4u4 yu'1u1,"""Y ahora que estoy tomando igual no te puedo invitar, no me alcanza, sólo tengo para mí"",",4n4n4e4n4e4n4e4n4e4n4e4n4e4n4e4n4e4n4e4n4e4n4e4n4e4n4e4n4e4n4e4n4e4n4e4n4e4n4e4n4e4n4e4n4e4n4e4n4e4n4e4n4e4n4e4n4e4n4e4n4e4n4e4n4e4n4e4n4e4n4e4n4e4n4e4n4e4n4e4n4e4n4e4n4e4n4e4n4e4n4e4n4e4n4e4n4e4n4e4n5e4n4e4n4e4n5e4n5e4n5e4n5e4n5e4n5e4n5e4n5e4n5e4n5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e,": ""If you don't want to do it don't do it, or if you want to hurt someone, say a bull rider, you can hurt him by praying this"
276,2009-11-26-d,2009-11-26-d_000050,Constantino Teodoro Bautista,ka4chi2 ta1 xi'4in4 ña'1a3=e2 kan4 ji'4in4=ra3,ka4chi2 ta1 xi'4in4 ña'1a3=e2 kan4 ji'4in4=ra3,así le dijo el hombre de la casa al hombre.,1o1o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o2o,"told me she was feeling better, then I told my people to go and sell corn while I prayed to that gentleman."
277,2009-11-26-d,2009-11-26-d_000051,Constantino Teodoro Bautista,"tan3 sa3kan4 ka4a4=ra2 i4-ndu'3u4 ba3=ra2 ndi4 ba143 kwa'1an1 ta1 nda'4bi2 ndi4 ta1 i4-ndu'3u4 ku4u4 ba3=ra3,","tan3 sa3kan4 ka4a4=ra2 i4-ndu'3u4 ba3=ra2 ndi4 ba143 kwa'1an1 ta1 nda'4bi2 ndi4 ta1 i4-ndu'3u4 ku4u4 ba3=ra3,","Y el pobre hombre a pesar de lo que le dijeron no se fue, seguía ahí sentado.",3n1a3n3a3n3a3n3a3n3a3n3a3n3a3n3a3n3a3n3a3n3a3n3a3n3a3n3a3n3a3n3a3n3a3n3a3n3a3n3a3n3a3n3a3n3a3n3a3n3a3n3a3n3a3n3a3n3a3n3a3n3a3n3a3n3a3n3a3n3a3n3a3n3a3n3a3n3a3n3a3n3a3n3a3n3a3n3a3n3a3n3a3n3a3n3a3n3a3n3a3n3a3n3a3n3a3n3n3a3n3n3a3n3n3a3n3n3a3n3n3a3n3n3a3n3n3n3a3n3n3n3a3n3n3n3a3n3n3n3n3n3a3n3n3n3n3n3n3n3n3n3n3n3n3n3n3n3n3n3n3n3n3n3n3n3n3n3n3n3n3n3n3n,": I only pray for good things, everyone knows it, for example up there on the mountain where I'm going I've cured them all with this prayer."
278,2009-11-26-d,2009-11-26-d_000052,Constantino Teodoro Bautista,"xi4kan1=ra(1)=e1 ko'3o3=ra3, sa3kan4 ku4u4, ni1-ku3-na'3a4 ba3 nde4e4=na2, ja143 ka4chi2=ra1 ji'4in(4)=a2 ndi4","xi4kan1=ra(1)=e1 ko'3o3=ra3, sa3kan4 ku4u4, ni1-ku3-na'3a4 ba3 nde4e4=na2, ja143 ka4chi2=ra1 ji'4in(4)=a2 ndi4","Seguía pidiendo de tomar, pasó un buen rato y el hombre de la casa le dijo nuevamente al hombre que pedía de tomar,",3n1n3o1n3o1n3o1n3o1n3o1n3o1n3o1n3o1n3o1n3o1n3o1n3o1n3o1n3o1n3o1n3o1n3o1n3o1n3o1n3o1n3o1n3o1n3o1n3o1n3o1n3o1n3o1n3o1n3o1n3o1n3o1n3o1n3o1n3o1n3o1n3o1n3o1n3o1n3o1n3o1n3o1n3o1n3o1n3o1n3o1n3o1n3o1n3o1n3o1n3o1n3o1n3o1n3o1n3o1n3o1n3o1n3o1n3o1n3o1n3o1n3o1n3o1n3o1n3o1n3o1n3o1n3o1n3o1n3o1n3o1n3o1n3o1n3o1n3o1n3o1n3o1n3o1n3o1n3o1n3o1n3o1n3o1n3o1n3o1n3o1n3o,": Just like you when you got there and talked to people and asked them for permission to put your car in, like, that's what that phrase means."
279,2009-11-26-d,2009-11-26-d_000053,Constantino Teodoro Bautista,"yo'4o1 ndi4, nda3-ka'3an(4)=on4, nda3-ka'3an(4)=on4 chi3ñu3 i4xa3 mi3i(4)=un4 na4 xi4ka(3)=on4 xi'4i(4)=un4 ndi4 ba143 xa4xa(1)=e1 xi'4i4 yo'4o1 ni3 ba14...","yo'4o1 ndi4, nda3-ka'3an(4)=on4, nda3-ka'3an(4)=on4 chi3ñu3 i4xa3 mi3i(4)=un4 na4 xi4ka(3)=on4 xi'4i(4)=un4 ndi4 ba143 xa4xa(1)=e1 xi'4i4 yo'4o1 ni3","""Recuerda lo que haces cuando andas tomando, no invitas a nadie, no regalas ni","El médico cu4u4o1 el médico cu4u4o1 el médico cu4u4o1 el cu4u3o1, el cu4u3o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4","always reaches the knuckles, which means it's coming. So we have to look at this knuckle, if we have a trip,"
280,2009-11-26-d,2009-11-26-d_000054,Constantino Teodoro Bautista,ko'3o3 na1 *amigu** ji'4in4 yo'4o1 ndi4 i3nda14=e2 xi'4i4 mi3i4 ba3 yo'4o1 tan3 ja1 ba'1a3 sa3kan4 ba3,ko'3o3 na1 amigu ji'4in4 yo'4o1 ndi4 i3nda14=e2 xi'4i4 mi3i4 ba3 yo'4o1 tan3 ja1 ba'1a3 sa3kan4 ba3,"nada a tus amigos, sólo pides para tí y ya"".","""En el caso de las cuadras, las cuadras, las cuadradas, las cuadradas, las cuadradas, las cuadradas, las cuadradas, las cuadradas, las cuadradas, las cuadradas, las cuadradas, las cuadradas, las cuadradas, las cuadradas, las cuadradas, las cuadradas, las cuadradas, las cuadradas, las cuadradas, las cuadradas, las cuadradas, las cuadradas, las cuadradas, las cuadradas, las cuadradas, las cuadradas, las cuadradas, las cuadradas, las cuadradas, las cuadradas, las cuadradas, las cuadradas, las cuadradas, las cuadradas, las cuadradas, las cuadradas, las cuadradas, las cuadradas, las cuadradas, las cuadradas, las cuadradas, las cuadradas, las cuadradas, las cuadradas, las cuadradas, las cuadradas, las cuadradas, las cuadradas, las cuadradas, las cuadradas, las cuadradas, las cuadradas, las cuadradas, las cuadradas, las cuadradas, las cuadradas, las cuadradas, las cuadradas, las cuadradas, las cuadradas, las cuadradas, cuadradas, cuadradas, cuadradas, cuadradas, cuadradas, cuadradas, cuadradas, cuadradas, cuadradas,","says here, ""speak four times, breathe four times, speak four times, echo four times""."
281,2009-11-26-d,2009-11-26-d_000055,Constantino Teodoro Bautista,"yo'4o1 ndi4, yo'4o1 ndi4 tan42 ka4a4 ndu3xi4 tie4tan24 ba3 ka4a4 yo'4o1 ndi4","yo'4o1 ndi4, yo'4o1 ndi4 tan42 ka4a4 ndu3xi4 tie4tan24 ba3 ka4a4 yo'4o1 ndi4","""Tú te pareces a la gallina que",A4B3 A4B3 A4B3 A4B3 A4B3 A4B3 A4B4 A4B4 A4B4 A4B4 A4B4 A4B4 A4B4 A4B4 A4B4 A4B4 A4B4 A4B4 A4B4 A4B4 A4B4 A4B4 A4B4 A4B4 A4B4 A4B4 A4B4 A4B4 A4B4 A4B4 A4B4 A4B4 A4B4 A4B4 A4B4 A4B4 A4B4 A4B4 A4B4 A4B4 A4B4 A4B4 A4B4 A4B4 A4B4 A4B4 A4B4 A4B4 A4B4 A4B4 A4B4 A4B4 A4B4 A4B4 A4B4 A4B4 A4B4A4 A4B4B4 A4B4A5 A4B4A5 A4B4A5 A4B4A5 A4B4A5 A4B4A5 A4B5 A4B5 A4B5 A5 A5A5 A5A5 A5A5 A5A5 A5 A5A5 A5 A5 A5 A5 A5 A5 A5 A5 A5 A5 A5 A5 A5 A5 A5 A5 A5 A5 A5,": So this part of the hand is the one that answers, if we ask the question like that nothing else will be able to answer us."
282,2009-11-26-d,2009-11-26-d_000056,Constantino Teodoro Bautista,"ndu3xi4 tie4tan24 ndi4 i4yo2 ta'3an2 se'1e3=ri4 tan3 ndi4 ko14o3 ndo3so4=ri4 chi3chin4 bi4=a3,","ndu3xi4 tie4tan24 ndi4 i4yo2 ta'3an2 se'1e3=ri4 tan3 ndi4 ko14o3 ndo3so4=ri4 chi3chin4 bi4=a3,","tiene a sus pollitos, tiene a sus pollitos pero no tiene pecho para darles"".",1o1o4o4o4o4o4o4o4o1o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o,": Now, if that recording is listened to by a person who wants to learn with that can do the query, that's where it all comes in."
283,2009-11-26-d,2009-11-26-d_000057,Constantino Teodoro Bautista,"na1 yu4bi24 ba3 nda4tu3, nda4tu3 ti4 kan4 ta3xi3=na2 yu3xan4 ka3xi4, ka3xi4 se'1e3=ri4 sa3kan4 ndi4","na1 yu4bi24 ba3 nda4tu3, nda4tu3 ti4 kan4 ta3xi3=na2 yu3xan4 ka3xi4, ka3xi4 se'1e3=ri4 sa3kan4 ndi4","""La gallina espera que la gente le dé de comer masa a sus pollitos para que",1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o,"in prayer are mentioned every habitation of sickness, so that our word and our breath reach there."
