,doc,sid,speaker,transcription,cleaned_transcription,translation,mix_to_spa,spa_to_mix
10,2010-12-15-a,2010-12-15-a_000010,Constantino Teodoro Bautista,"yo3o3 su'1ma4 ku4u4 su'1ma(4)=on4 mi4chun2, ka4chi2=ra1 ji'4in(4)=an4","yo3o3 su'1ma4 ku4u4 su'1ma(4)=on4 mi4chun2, ka4chi2=ra1 ji'4in(4)=an4","""¿De quién es tu cola gatita?"", le preguntó su hermano.","las enfermedades que han empezado a afectar a las personas, las enfermedades que han empezado a afectar a las personas, las enfermedades que han de afectar a las personas, las enfermedades que han de afectar a las personas, las enfermedades que han de afectar a las personas, las enfermedades que han de afectar a las personas,",ánima ni1-ka3ni3 nda'3a4=ndo4 ánima ni1-ka3ni3 nda'3a4=ndo4 ánima ni1-ka3ni3 nda'3a4=ndo4 ánima ni1-ka3ni3 nda'3a4=ndo4 ánima ni1-ka3ni3 nda'3a4=ndo4 ánima ni1-ka3ni3 nda'3a4=ndo4 ánima ni1-ka3ni3 nda'3a4=ndo4 ánima ni1-ka3ni3 nda'3a4=ndo4 ánima ni1-ka3ni
11,2010-12-15-a,2010-12-15-a_000011,Constantino Teodoro Bautista,"a4su3 ndi4 *cuchara** ka4chi'3i3 ña4 Ñu4la2 ña'1a3 xi4xi3 ta1 kan3to4ri2 ku4u(4)=a2, ka4chi2=an4 so'3o3 ji'4in4=ra3,","a4su3 ndi4 cuchara ka4chi'3i3 ña4 Ñu4la2 ña'1a3 xi4xi3 ta1 kan3to4ri2 ku4u(4)=a2, ka4chi2=an4 so'3o3 ji'4in4=ra3,","""Pues es la cuchara con que Ñula sirve la comida para el cantor"", le dijo ella.","Iba a cavar y mataban venados, iban entrando y me hablan, me hablan de nuevo, me hablan en el monte y me hablan, así que iba a ver esos venados en el monte.","na1 ni1-ka3-ka'3an3 ku4u4=na2 ran4, na1 ni1-ta1tan4 ku4u4=na2 ran4, na1 ni1-ke1e3 ku4u4=na2 ran4, na1 ni1-ta1tan4 ku4u4=na2 ran4, na1 ni1-ta1tan4 ku4u4=na2 ran4, na1 ni1-ta1tan4 ku4u4=na2 ran4, na1 ni1-ta1tan4 ku4u4=na2 ran4, na1 ni1-ta1tan4 ku4u4=na2 ran"
12,2010-12-15-a,2010-12-15-a_000012,Constantino Teodoro Bautista,"ja143 ka'4an2=ra1 ji'4in(4)=an4 ndi4, yo3o3 i3xi4 i3in4 ku4u4 i3xi4 i3in(4)=un4 ran4 mi4chun2","ja143 ka'4an2=ra1 ji'4in(4)=an4 ndi4, yo3o3 i3xi4 i3in4 ku4u4 i3xi4 i3in(4)=un4 ran4 mi4chun2","Luego su hermano le dijo, ""¿De quién son tus bellos gatita?"".","tú que hablaste bien, tú que hablaste bien, que hablaste bien, que hablaste bien, que hablaste bien, que hablaste bien, que hablaste bien, que hablaste bien, que hablaste bien, que hablaste bien, que hablaste bien, que hablaste bien, que hablaste bien, que hablaste bien, que hablaste bien, que hablaste bien, que hablaste bien, que hablaste bien.",Yu3ku4 nda4-na1ma3 i1ta3 nda4-na1ma3 i3tun4 nda4-na1ma3 ndi4 yo'4o1 ku4u4 ta1 nda4-na1ma3 bi3tin3 ta1 kan4 ku3u3 ta1 kan4 ku3u3 ta1 kan4 ku3-ta4tan4 yu'3u4=ra2 ku3-ta4tan4 i3ni2=ra1 ku3-ta4tan4 i3ki4=ra2 ku3-ta4tan4 i3ki4=ra2 ku3-ta4tan
13,2010-12-15-a,2010-12-15-a_000013,Constantino Teodoro Bautista,"a4su3 ndi4 ti1ka4chi4 u1bi1 nu14u3 ndi4xi3 ta1 kan3to4ri2 ji'4in4 ku'1ba3=ra2 ña4 Ñu4la2 ku4u(4)=a2, ka4chi2 tu3ku(3)=an4 nda13-kwi3in(3)=an4 yu'3u4=ra3","a4su3 ndi4 ti1ka4chi4 u1bi1 nu14u3 ndi4xi3 ta1 kan3to4ri2 ji'4in4 ku'1ba3=ra2 ña4 Ñu4la2 ku4u(4)=a2, ka4chi2 tu3ku(3)=an4 nda13-kwi3in(3)=an4 yu'3u4=ra3","""Pues es la cobija de doble vista con que se tapa el cantor y su hermana Ñula"", le contestó su hermana.","tú dices esto, mira, tú dices esto, tú dices esto, tú dices esto, yo diré hasta acá, yo diré hasta acá, yo diré hasta acá, yo diré hasta acá.","ndo'4o1 ku4u4 kwe'1e1 ti4 ndio'3o3 kwa4an2, ndo'4o1 ku4u4 kwe'1e1 ti4 ndio'3o3 nda4a4, ndo'4o1 ku4u4 kwe'1e1 ti4 ndio'3o3 kwa4an2, ndo'4o1 ku4u4 kwe'1e1 ti4 ndio'3o3 nda4a4, ndo'4o1 ku4u4 kwe'1e1 ti4 ndio'3o3 kwa4an2,"
14,2010-12-15-a,2010-12-15-a_000014,Constantino Teodoro Bautista,"ku4u4=na2 na1 ba4li4 ka'4an2, ka'4an2=ra1 ji'4in4 ku'1ba3=ra2 tan3 nda4-kwi3in(3)=an4, i3kan4 ka'4an2=ra1 ji'4in(4)=an4 ndi4","ku4u4=na2 na1 ba4li4 ka'4an2, ka'4an2=ra1 ji'4in4 ku'1ba3=ra2 tan3 nda4-kwi3in(3)=an4, i3kan4 ka'4an2=ra1 ji'4in(4)=an4 ndi4","Eran niños, y le enseñ+o a su hermana a jugar con estas frases, él preguntando y ella contestando. Él le dijo,","debemos esperar cuatro o cuatro veces hasta que tomen aguardiente, así le dicen, ""Aquí hay petates, hay sillas, todas las casas, todos los lugares donde se cree que hay sillas"".",Nde3e4 nde3e4 nde3e4 nde3e4 nde3e4 nde3e4 nde3e4 nde3e4 nde3e4 nde3e4 nde3e4 nde3e4 nde3e4 nde3e4 se'1e3=2 nda'3a4 ánima ni1-ka'3an3 nda'3a4 ánima ni1-ka'3an3 nda'3a4 ánima ni1-ka'3an3 nda'3a4 ánima ni1-ka'3an3 nda'3a4 ánima ni1-ka'3an
15,2010-12-15-a,2010-12-15-a_000015,Constantino Teodoro Bautista,"yo3o3 nda'3a4 ku4u4 nda'3a(4)=on4 ran4 mi4chun2, ka4chi2=ra1 ji'4in(4)=an4","yo3o3 nda'3a4 ku4u4 nda'3a(4)=on4 ran4 mi4chun2, ka4chi2=ra1 ji'4in(4)=an4","""¿De quién es tu mano, pues gatita?"",","aquí he hecho las paces con mi mano, he hecho las paces con mi mano, he hecho las paces con mis manos, he hecho las paces con mis manos, he hecho las paces con mis manos, he hecho las paces con mis manos y mis manos, ahora he de ver la planta llamada <i>ndu4-ku3ku3</i> que se usa para provocar enfermedades en las personas.",U1ni1 ta'4an2 yu3bi4 tan3 u1ni1 ta3yu2 ndo'4o1 na1 na'14a1 bi3tin3 ndi4 ndo'4o1 ta'4an4 ndo'4o1 ta'4an4 ndo'4o1 ta'4an4 ndo'4o1 ta'4an4 ndo'4o1 ta'4an4 ndo'4o1 ta'4an4 ndo'4o1 ta'4an4 ndo'4o1 ta'4an4 ndo'4o1
16,2010-12-15-a,2010-12-15-a_000016,Constantino Teodoro Bautista,a4su3 ndi4 xa'1a4 tun4 *mesa** xi4xi3 ta1 kan3to4ri2 ji'4in4 ku'1ba3=ra2 ku4u(4)=a2 ka4chi2=an4 so'3o3,a4su3 ndi4 xa'1a4 tun4 mesa xi4xi3 ta1 kan3to4ri2 ji'4in4 ku'1ba3=ra2 ku4u(4)=a2 ka4chi2=an4 so'3o3,"Pues son las patitas de la mesa donde el cantor come con su hermana"", le contestó ella.","nueve petates, nueve sillas, ustedes los que llaman <i>ñu1ka'4an4 na'14a1</i>, ahora primero vayan, vayan, vayan con tus problemas, vayan con tus problemas, vayan con tus problemas, vayan con tus problemas, vayan con tus problemas, vayan con tus problemas, vayan con tus problemas, vayan con tus problemas, vayan con tus problemas, vayan con tus problemas, vayan con tus problemas.","i3kan4 ka'1an1 tu3ku(3)=e4 ji'4in4=na2 ndi4, ""Ka'1an1 ba'1a3=ndo4 ka'1an1 ndi3xa3 ka'1an1 ba'1a3=ndo4 ka'1an1 ta4ku1 ndo'4o1 ka'1an1 ta4ku1 ndo'4o1 ka'1an1 ta4ku1 ndo'4o1 ndi4 be'3e3 ka'4nu3 be'3e3 ka'4nu3"
17,2010-12-15-a,2010-12-15-a_000017,Constantino Teodoro Bautista,"tan42 i3in3 tan42 i3in3 tu'1un3 kan4 ka'4an2=ra1 tan3, ji'4in4 ku'1ba3=ra2 nda4-kwi3in(3)=an4 ka4chi2=an4, ka4chi2=ra1 ji'4in(4)=an4 ndi4","tan42 i3in3 tan42 i3in3 tu'1un3 kan4 ka'4an2=ra1 tan3, ji'4in4 ku'1ba3=ra2 nda4-kwi3in(3)=an4 ka4chi2=an4, ka4chi2=ra1 ji'4in(4)=an4 ndi4","A cada frase que su hermano decía ella contestaba. Luego él le preguntó,","San Miguel es el que te enseñó, y ahora cuéntanos qué más te enseñaron, cuáles más te enseñaron, cuáles más aprendiste.","I3kan4 ka4chi2=ra1 so'3o3, i3kan4 ka4chi2=ra1 so'3o3, be'3e3 nu14u3 be'3e3 nda3tu2 ka4chi2=ra1 so'3o3, bi3tin3 ku3ni2=yu1 nda4a2 ba42 i4ndu'3u4=ra2 tan3 sa3kan4 ndi4 nda3-kwi3in(3)=o4 yo4o4 ka'1an(1)=e4 ji'4in4 na1 ni1-ka'1an"
18,2010-12-15-a,2010-12-15-a_000018,Constantino Teodoro Bautista,yo3o3 nu'1u3 ku4u4 nu'1u(3)=un4 ran4 mi4chun2,yo3o3 nu'1u3 ku4u4 nu'1u(3)=un4 ran4 mi4chun2,"""¿De quién son tus dientes gatita?""","Esa cosa no sirve, no sirve para nada. Cuando sale, dice que hay una interpretación de la palabra <i>yu3nu4</i>, esa palabra <i>yu3nu4</i>, esa palabra roja no sirve, la palabra blanca no sirve para nada.",Ta3ba4=ndo4=a2 ji1ni4 xi4xi1 ta3ba4=ndo4=a2 ji1ni4 ka4sun1 ta3ba4=ndo4=a2 ji1ni4 ka4sun1 ka4sun1 ka4sun1 ka4sun1 ka4sun1 ka4sun1 ka4sun1 ka4sun1 ki3ti4 ka4sun1 ka4sun1 ka4sun1 ka4sun1 ka4sun1 ka4sun1 ka4sun1 ka4sun1 ka4sun1 ka4sun1 ka
19,2010-12-15-a,2010-12-15-a_000019,Constantino Teodoro Bautista,"a4su3 ndi4 bi1ka1 i3ki4 ka4chi'3i3 ña4 Ñu4la2 ji1ni(4)=an4 ku4u4=run4,ka4chi2=an4 so'3o3 chi2","a4su3 ndi4 bi1ka1 i3ki4 ka4chi'3i3 ña4 Ñu4la2 ji1ni(4)=an4 ku4u4=run4,ka4chi2=an4 so'3o3 chi2","""Pues es el peine de huesos con que Ñula se peina"", contestaba ella.","Ahí se encuentra, ahora he de ver, ahora he de ver dónde se encuentra, ahí se encuentra, eso es lo que he contado. Mm. Ahí se encuentra, pues.","Ya1 ma'14ñu3 yu3bi2 ka'4nu3 yo'4o4 ju13ta'3an2 yo'4o1 ta1 kwa'1an1 xu13xa3 ku4u4 yo'4o1 u1xi1 u1ni1 yu3bi4 u1xi1 u1ni1 ta3yu2 ja3chiu4un(4)=un4, ya1 ko4ndo3 yu3ba2 ko4ndo3 yu3ba2 ko4ndo3 yu3ba2 ko4ndo3 yu3ba2 ko4ndo3 si'3i4 ko4ndo3 yu3ba2."
20,2010-12-15-a,2010-12-15-a_000020,Constantino Teodoro Bautista,"nda4-kwi3in(3)=an4 yu'3u4 kan3to4ri2 ku'1ba(3)=en4 ndi4 kan3to4ri2 ku4u4 ta1 kan4 tan3, tan3 ña4 kan4 ndi4","nda4-kwi3in(3)=an4 yu'3u4 kan3to4ri2 ku'1ba(3)=en4 ndi4 kan3to4ri2 ku4u4 ta1 kan4 tan3, tan3 ña4 kan4 ndi4","Ella le contestaba así a su hermano el cantor, porque él era un cantor y ella,","escuchó que había una casa llena de ejotes y brasas, había muchos ejotes y flechas, muchos problemas, muchos problemas, muchos problemas, muchos problemas.","yo'4o4 nde4e4 na1 ta4u3ni2, ku1mi4 ka1a3 ndo'4o1 ta4u3ni2 ta4u3ni2 yu3ba4 ta4u3ni2 ta4u3ni2 si'3i4 ta4u3ni2 ta4u3ni2 ta4u3ni2 ta4u3ni2 ta4u3ni2 ta4u3ni2 ta4u3ni2 ta4u3ni2 ta4u3ni2 ta4u3ni2 ta4u3ni2 ta4u3ni2 ta"
21,2010-12-15-a,2010-12-15-a_000021,Constantino Teodoro Bautista,mi4chun2 ka4chi2=ra1 ji'4in(4)=an4 ndi4 ña4 Ñu4la2 na3ni4 ku'1ba3=ra2 ku4u4=na2 na1 ba4li4 tan3,mi4chun2 ka4chi2=ra1 ji'4in(4)=an4 ndi4 ña4 Ñu4la2 na3ni4 ku'1ba3=ra2 ku4u4=na2 na1 ba4li4 tan3,"a ella él le decía gatita, pero su hermana se llamaba Ñula, eran niños pequeños","Y si me dicen cosas buenas, ellos me dicen cosas buenas, yo voy a ir con ellos porque me dicen cosas buenas, pero si me dicen cosas malas, yo ya no voy a ir con ellos.",Yo'4o4 ba42 ju13ta'3an2=on4 ta1 na'14a1 ndi14i2 ta1 na'14a1 ndi4 i1ñu1 chi4chi3 ko'3o3=ndo4 ta1 na'14a1 xi4xi3 ndi'4i4=ndo4 ta1 na'14a1 xi'4i4=ndo4 ta1 na'14a1 xi4kwi'4na4 ta1 na'14a1 ndi4 yo'4o4 ba42 ta4ba4 kwe'1e1.
22,2010-12-15-a,2010-12-15-a_000022,Constantino Teodoro Bautista,"nde4e4=na2 be'3e3=na2 tan3 ka'4an2=ra1 ji'4in(4)=an4 ku4u4=ña4, ku4u4=na2 na1 nda'4bi2","nde4e4=na2 be'3e3=na2 tan3 ka'4an2=ra1 ji'4in(4)=an4 ku4u4=ña4, ku4u4=na2 na1 nda'4bi2",que jugaban en sus casas pues eran niños huérfanos.,"en medio del peñasco grande, aquí estás tú el que hace crecer, el que hace crecer, el que hace trece petates, trece sillas, tú el que hace suegro, el que hace suegro, el que hace suegro, el que hace suegro, el que hace suegro, el que hace suegro, el que hace suegro, suegro, suegro, suegro, suegro, suegro, suegro, suegro, suegro, suegro, suegro,",ndo3o3 yu3ba(4)=e4 santísima sa3kan4 ko3ndo3 yu3bi4=ra2 sa3kan4 ko3ndo3 ta3yu2 ndo'4o1 ndo'4o1 ndo'4o1 ndo'4o1 ndo'4o1 ndo'4o1 ndo'4o1 ndo'4o1 ndo'4o1 ndo'4o1 ndo'4o1 ndo'4o1 ndo'4o1 ndo'4o1 ndo'4o1 ndo'4o1.
23,2010-12-15-a,2010-12-15-a_000023,Constantino Teodoro Bautista,"tan3 ndi4 su14u3 i3in(3)=a2, nda4a2 ka1 bi4=a2 ba42 ndi4 i3in3 kwen4tu2 sa3kan4 ni1-ka'1an1 ku'1ba(3)=en4 ta1 kan3to4ri2 ji'4in(4)=an4 tiem4pu2 ku4u4=na2 na1 ba4li4 ba42,","tan3 ndi4 su14u3 i3in(3)=a2, nda4a2 ka1 bi4=a2 ba42 ndi4 i3in3 kwen4tu2 sa3kan4 ni1-ka'1an1 ku'1ba(3)=en4 ta1 kan3to4ri2 ji'4in(4)=an4 tiem4pu2 ku4u4=na2 na1 ba4li4 ba42,","Pero era otra cosa, era solo un juego de palabras que su hermano el cantor le enseñó a jugar cuando eran niños,","Sí, todos esos espíritus son ricos, entonces debemos buscar a nuestros animales, ya sean mulas, caballos, machos, vacas, cultivos, maíz, frijol, guajolotes, gallinas y demás.","ni1-ki3xa2a2=yu1 ti1xin3 be'3e3 ti1xin3 ke'3e2 ndo'4o1 ni1-ki3xa2a2=yu1 be'3e3 ta1kwi42, ni1-ki3xa2a2=yu1 ti1xin3 be'3e3 xi1i4 is1tan4 yu3bi2 ni1-ki3xa2a2=yu1 ti1xin3 be'3e3 ta1kwi42."
