doc,sid,speaker,transcription,cleaned_transcription,translation,similarity
2008-12-07-f,2008-12-07-f_000016,Maximino Meza Teodoro,"Ya1 kan4 ndi4 ja1 i4yo2 ba'1a3 ji'4in(4)=a3, ya1 ta'1nda1 ku4u4 ba(3)=e3"", sa3kan4 ku4u4, ja1 ni1-sa4-ndi'3i3 ba3 ta1, xi1..., sa1bi4 ji13tu3=ra2 tan3","Ya1 kan4 ndi4 ja1 i4yo2 ba'1a3 ji'4in(4)=a3, ya1 ta'1nda1 ku4u4 ba(3)=e3"", sa3kan4 ku4u4, ja1 ni1-sa4-ndi'3i3 ba3 ta1, sa1bi4 ji13tu3=ra2 tan3","""Eso ya está hecho, voy a tumbar ese monte"". Mientras tanto el señor de la lluvia ya había terminado de tumbar el monte.",0.7272727272727273
2012-03-03-c,2012-03-03-c_000197,Santa Cruz Tiburcio Pastor,"""An4 ja1 ni1-ta1nda3a2 ba3 ya1 kan4 ndi4 su3u3 tan3 su3u3 ndu13-ku3ta'4an(4)=e4 yo'4o4"", ka4chi2=ra1 so'3o3. ""Ba3 sa3kan4 ba3 ran4 ji3to2"", ka4chi2[=yu1] ji'4in4=ra2 ni14-ni'1i4 ka(1)=e1 yo3o3 ba42 nda3-kwi3in3 bi4=2 yu'3u4=ra2 ndi4, ""Ba3 sa3kan4 ba3 ran4 ji3to2"", ka4chi2[=yu1] so'3o3.","""An4 ja1 ni1-ta1nda3a2 ba3 ya1 kan4 ndi4 su3u3 tan3 su3u3 ndu13-ku3ta'4an(4)=e4 yo'4o4"", ka4chi2=ra1 so'3o3. ""Ba3 sa3kan4 ba3 ran4 ji3to2"", ka4chi2=yu1 ji'4in4=ra2 ni14-ni'1i4 ka(1)=e1 yo3o3 ba42 nda3-kwi3in3 bi4=2 yu'3u4=ra2 ndi4, ""Ba3 sa3kan4 ba3 ran4 ji3to2"", ka4chi2=yu1 so'3o3.","""Será que ya llegó nuestra hora porque nos volvimos a encontrar en el mismo lugar"", dijo. ""Puede ser tío"", le dije, no supe qué decir y sólo atiné a decirle, ""Puede ser tío.",0.7272727272727273
2013-03-29-r,2013-03-29-r_000185,Maximino Meza Teodoro,"""Ba'1a3 ba3 ka4chi2 ta1 kan4"", ndi13-ki'3in3=ra2 tu1xi42 ndi13-ki'3in3=ra2 ti1chi4 tan3 kwa1nu'1u4 ba3=ra2 nda13-xa2a2=ra1 tan3 ja143 ka'4an2=ra1 ji'4in(4)=a2 ta4u3ni2 kan4 ndi4, ""Yo'4o4 ki13xa2a2 ti1chi4 ji'4in(4)=2"".","""Ba'1a3 ba3 ka4chi2 ta1 kan4"", ndi13-ki'3in3=ra2 tu1xi42 ndi13-ki'3in3=ra2 ti1chi4 tan3 kwa1nu'1u4 ba3=ra2 nda13-xa2a2=ra1 tan3 ja143 ka'4an2=ra1 ji'4in(4)=a2 ta4u3ni2 kan4 ndi4, ""Yo'4o4 ki13xa2a2 ti1chi4 ji'4in(4)=2"".","""Está bien"", dijo el hombre y luego se fue a su casa, cuando llegó le entregó las iguanas a la señora diciendo, ""Aquí traje las iguanas"".",0.7272727272727273
2013-03-29-r,2013-03-29-r_000034,Maximino Meza Teodoro,"Nda143 ki'4in4 ti4=ri4 ka3a2 tan3 xi4nu3=ri4 kwa'1an1 ba3=ri4 ko14o3 ka1=ri4 xa'4ni24=ra2, tan3 ña4 si'4i2=ra1 ndi4 ña4 ja1 ni1-ki'1bi3 ba'1a3 ku4u4 ba(3)=en4 kan4 ji'4in4 ta1 i4yo2 ji'4in(4)=an4.","Nda143 ki'4in4 ti4=ri4 ka3a2 tan3 xi4nu3=ri4 kwa'1an1 ba3=ri4 ko14o3 ka1=ri4 xa'4ni24=ra2, tan3 ña4 si'4i2=ra1 ndi4 ña4 ja1 ni1-ki'1bi3 ba'1a3 ku4u4 ba(3)=en4 kan4 ji'4in4 ta1 i4yo2 ji'4in(4)=an4.","Cuando le disparaba a los venados ya no se morían se le escapaban, ya no los recogía. Y la mujer del cazador ya era amante de su ayudante.",0.7272727272727273
2013-03-29-q,2013-03-29-q_000086,Maximino Meza Teodoro,"Ji13ni2 ba3 ta1, ta1 ku4nu24 ndi4-ki3ta'4an4 ji'4in4=na2 ndi4 sa3kan4 ka4a(4)=e2 ndo'4o4=na2 tan3 xa143 ni1-nda3-xi4ta3=ra2 sa1bi4 tan3 ta1chi4 nda'13ba2=ra1 ñu'3u2 nda'3a4 na1 tu3un4 ña1a4 ndi4 nda143 ñu'4u4 na3a4 na1 ña1a4.","Ji13ni2 ba3 ta1, ta1 ku4nu24 ndi4-ki3ta'4an4 ji'4in4=na2 ndi4 sa3kan4 ka4a(4)=e2 ndo'4o4=na2 tan3 xa143 ni1-nda3-xi4ta3=ra2 sa1bi4 tan3 ta1chi4 nda'13ba2=ra1 ñu'3u2 nda'3a4 na1 tu3un4 ña1a4 ndi4 nda143 ñu'4u4 na3a4 na1 ña1a4.","Cuando el jefe se dio cuenta de ello hizo llover con mucho viento, con ello apagó las antorchas de los negros y quedaron a oscuras.",0.7272727272727273
2012-03-02-c,2012-03-02-c_000043,Maximiliano Francisco González,"Ya1 kan4 ni1-ku3-so'4o4=ra2 ni1-ti14bi3=ra2 ka4chi2=na1, ya1 kan4 ndi4 ba3 i3kan4 kwa1nu'1u4 ta1 ta4u3ni2 kan4, a1chi1 ndi4 ya1, ya1 a3sa3 ma1ni4 ña'3a4 ba42 tan3 ni1-i3xa3=ra2 sa3kan4 ndi4 ni14-xi3kwe4nda2=ra(1)=e1 tan3","Ya1 kan4 ni1-ku3-so'4o4=ra2 ni1-ti14bi3=ra2 ka4chi2=na1, ya1 kan4 ndi4 ba3 i3kan4 kwa1nu'1u4 ta1 ta4u3ni2 kan4, a1chi1 ndi4 ya1, ya1 a3sa3 ma1ni4 ña'3a4 ba42 tan3 ni1-i3xa3=ra2 sa3kan4 ndi4 ni14-xi3kwe4nda2=ra(1)=e1 tan3","Por eso quedó mal, quedó sordo, así que cuando se murió ese señor seguramente fue llevado a ese lugar, porque le habían regalado dinero y no cumplió lo que le dijeron.",0.7272727272727273
2013-03-29-r,2013-03-29-r_000016,Maximino Meza Teodoro,"""Ya1 kwi3i3 ku4u4 ba(3)=e2 kan4 a1chi1 ndi4 ta1 i4ndu'3u4 ji'4in(4)=2 ndi4 ba143 ndi'4i13 ka1 i3ni2=ra1 ku4u(4)=2 ndi4 su3u3 tan3 su3u3 i3su2 xi4ka3=ra2 ja1ta4"", ka4chi2=an4 so'3o3.","""Ya1 kwi3i3 ku4u4 ba(3)=e2 kan4 a1chi1 ndi4 ta1 i4ndu'3u4 ji'4in(4)=2 ndi4 ba143 ndi'4i13 ka1 i3ni2=ra1 ku4u(4)=2 ndi4 su3u3 tan3 su3u3 i3su2 xi4ka3=ra2 ja1ta4"", ka4chi2=an4 so'3o3.","La mujer le dijo al hombre, ""Eso que pides es posible, sobre todo porque mi esposo ya no me hace caso, siempre anda de cacería"".",0.7272727272727273
2012-03-02-x,2012-03-02-x_000392,Maximiliano Francisco González,"Ya1 kan4 ndi4 ta1 ja1 xi'4i1 ku4u4 ba3=ra2 ji'4in4, ya1 ja1 mi3i4 i'4na4 ti4 tan3 ku4ni2 ka'3ni4=a2=ra1 ran4.","Ya1 kan4 ndi4 ta1 ja1 xi'4i1 ku4u4 ba3=ra2 ji'4in4, ya1 ja1 mi3i4 i'4na4 ti4 tan3 ku4ni2 ka'3ni4=a2=ra1 ran4.","Su caso era grave, la misma señal de mal agüero estuvo a punto de matarlo.",0.7272727272727273
2008-11-01-g,2008-11-01-g_000151,Carlos Rómulo Santiago,ku4-ba3ta4=lu(3)=an4 ji'4in4=ra2 sa3kan4 tan3 ta1 kan4 ndi4 ku14ni2=ra1 ku3-ba3ta(4)=en4 ji'4in4=ra2 ndi4 ji4ni2=ra1 ndi4 ña4 si'4i2 ya3ni2=ra1 ban4.,ku4-ba3ta4=lu(3)=an4 ji'4in4=ra2 sa3kan4 tan3 ta1 kan4 ndi4 ku14ni2=ra1 ku3-ba3ta(4)=en4 ji'4in4=ra2 ndi4 ji4ni2=ra1 ndi4 ña4 si'4i2 ya3ni2=ra1 ban4.,"la princesa le empezó a hacer caricias, pero él no quería que lo acariciara porque sabía que era la mujer de su hermano.",0.7272727272727273
2012-03-02-q,2012-03-02-q_000020,Fernando Niño Leonardo,"ndo1o3=a2 ji'4in4 tan3 na1 ba143 ba'1a3 i3ni2 sa3kan4 ndi4 na4 nda3-ndi3ko4=na2 xa'1a4=e2 ko3ndo'3o3=na2 tan42 yo4o4, tan42 na1 nda'4bi2 ta'4an(4)=e4 ndo'4o4=na2 ndi4 sa3kan4 ko3ndo'3o3 tu3 ta1 kan4 ba3, ka4chi2=ra1 so'3o3.","ndo1o3=a2 ji'4in4 tan3 na1 ba143 ba'1a3 i3ni2 sa3kan4 ndi4 na4 nda3-ndi3ko4=na2 xa'1a4=e2 ko3ndo'3o3=na2 tan42 yo4o4, tan42 na1 nda'4bi2 ta'4an(4)=e4 ndo'4o4=na2 ndi4 sa3kan4 ko3ndo'3o3 tu3 ta1 kan4 ba3, ka4chi2=ra1 so'3o3.","merecen las riquezas, la gente de mal corazón deben volver a sufrir como las personas pobres, así debe pasar también con este hombre"", dijo.",0.7272727272727273
2012-10-28-b,2012-10-28-b_000089,Mario Salazar Felipe,Xa1 ku'4u2 ba3=ra2 sa3kan4 ba42 ndi4 nda13tu'4un4=ra2 ndi4 ji'4in4 ta1 kan4 ni1-xa'1an1=ra1.,Xa1 ku'4u2 ba3=ra2 sa3kan4 ba42 ndi4 nda13tu'4un4=ra2 ndi4 ji'4in4 ta1 kan4 ni1-xa'1an1=ra1.,Ya que estaba enfermo nos comentó que fue con su amigo a cazar.,0.7272727272727273
2012-03-02-m,2012-03-02-m_000018,Fernando Niño Leonardo,"nda1 ndi'4i(4)=a2 ba42 ka'4an2=ra1 ji'4in4 ba3 a1chi1 ndi4 ta1, ta1 nda'4bi2 ku4u4 ku4u4=ra2 na4 nda'3a2 na1kwa4chi3, an4 na1kwa4chi3 ku4u4=na2 an4 na1 xu13xa3 tu3 ku4u4=na2 ndi4 ya1 kan4 ba42 nda'4bi2 ku4u4 na1 nda'4bi2 ji'4in4 ta'4an4=na2 tan3 ya'4a13 ki1bi4 kwa'1an(1)=e1.","nda1 ndi'4i(4)=a2 ba42 ka'4an2=ra1 ji'4in4 ba3 a1chi1 ndi4 ta1, ta1 nda'4bi2 ku4u4 ku4u4=ra2 na4 nda'3a2 na1kwa4chi3, an4 na1kwa4chi3 ku4u4=na2 an4 na1 xu13xa3 tu3 ku4u4=na2 ndi4 ya1 kan4 ba42 nda'4bi2 ku4u4 na1 nda'4bi2 ji'4in4 ta'4an4=na2 tan3 ya'4a13 ki1bi4 kwa'1an(1)=e1.","desea que el enfermo se cure, porque tiene la intención de ayudar a la curación del niño o de la persona grande que está enferma.",0.7272727272727273
2008-12-07-f,2008-12-07-f_000080,Maximino Meza Teodoro,"na4 ko3to3 mi3i4 yu3ba(4)=e4 sa1a3 a3sa3=ra2 tan3 ku3-ta3ku2=ra1 ndi4 ta1 ku'1un1 tu3 ku4u4 yu'1u1 ba3 tan42 ta1 kan4 ndi4 ta4yu4 ta1 kan4 a1chi1 ndi4 kwi4i4, ya1kan3, ko4so1=ra(1)=e1 tan3 sa3kan4 tu3 yu'1u1 ba3 ndi4 ta1 ta4yu4 tu3 ku4u4 yu'1u1 ba3"", ka4chi2=ra1.","na4 ko3to3 mi3i4 yu3ba(4)=e4 sa1a3 a3sa3=ra2 tan3 ku3-ta3ku2=ra1 ndi4 ta1 ku'1un1 tu3 ku4u4 yu'1u1 ba3 tan42 ta1 kan4 ndi4 ta4yu4 ta1 kan4 a1chi1 ndi4 kwi4i4, ya1kan3, ko4so1=ra(1)=e1 tan3 sa3kan4 tu3 yu'1u1 ba3 ndi4 ta1 ta4yu4 tu3 ku4u4 yu'1u1 ba3"", ka4chi2=ra1.","Lo voy a hacer como una forma de castigar a tu papá, él se cree muy poderoso porque puede hacer llover y regar su milpa, yo también tengo mis dones"", dijo.",0.7272727272727273
2012-10-28-i,2012-10-28-i_000195,Mario Salazar Felipe,"Tan3 na3..., ka4chi2 ta1 sa1bi4 ndi4 i4yo2=ra1 nda3-chi'3i3=ra2 nu1ni4 nu14u3 ña'1a3 ta1 kan4 tan3 sa3kan4 ndi4 nda3-ko1o3=ra(2)=e2 ma1ni4 ji'4in4 ta1 kan4.",Tan3 ka4chi2 ta1 sa1bi4 ndi4 i4yo2=ra1 nda3-chi'3i3=ra2 nu1ni4 nu14u3 ña'1a3 ta1 kan4 tan3 sa3kan4 ndi4 nda3-ko1o3=ra(2)=e2 ma1ni4 ji'4in4 ta1 kan4.,Así que el señor de la lluvia dijo que estaba dispuesto a volver a sembrar la tierra del señor del fuego para hacer las paces.,0.7272727272727273
2012-03-02-q,2012-03-02-q_000015,Fernando Niño Leonardo,"ta1 yo'4o4 ndi4 ta1 kwe'1e1 ku4u4 ba3=ra2 ndi4 ba14sa4 ni4-ju3-ni'3i3 ba'1a3=ra2 yu'1u1 ndi4 so'3o3 i13xa3=ra2 ji'4in(4)=2"". A4su3 a1su3=a2 kan4 ka4chi2[=yu1] ji'4in(4)=un4 ndi4 ji'3na3 mi3i(4)=un4 ku'1un1 sa3kan4 ndi4 ku3ni2=un4 ndi4 sa3kan4 ndi'3i3 ku'1un1=ra1 ji'4in4 ndi3se'1e3 ndi3sa1na1 ki1bi4 ki'3in(3)=a2 ku'1un1"".","ta1 yo'4o4 ndi4 ta1 kwe'1e1 ku4u4 ba3=ra2 ndi4 ba14sa4 ni4-ju3-ni'3i3 ba'1a3=ra2 yu'1u1 ndi4 so'3o3 i13xa3=ra2 ji'4in(4)=2"". A4su3 a1su3=a2 kan4 ka4chi2=yu1 ji'4in(4)=un4 ndi4 ji'3na3 mi3i(4)=un4 ku'1un1 sa3kan4 ndi4 ku3ni2=un4 ndi4 sa3kan4 ndi'3i3 ku'1un1=ra1 ji'4in4 ndi3se'1e3 ndi3sa1na1 ki1bi4 ki'3in(3)=a2 ku'1un1"".","ese hombre no es bueno, no me recibió bien, me dio un mal trato"". ""Te dije que fueras tú primero para que vieras el trato que te daba, así va a tratar a toda la gente en días venideros"".",0.7272727272727273
2008-12-07-f,2008-12-07-f_000107,Maximino Meza Teodoro,"Tan3 ta1, tan3 ña4 kan4 ta13xi(3)=an4=e2 nda'3a4=ra2 tin3 i3kan4 xi13xi3=ra2 lu3lu(3)=a2 kan4 tan3, i3kan4 ja143 ka4chi2=ra1 ji'4in(4)=an4 ndi4, ""¿Tan3 sa1a3 ko3o3 tan3 sa3kan4 nda3-ndi3ko4 se'1e(3)=o4 nda3-xa2a2=ra1?"".","Tan3 ta1, tan3 ña4 kan4 ta13xi(3)=an4=e2 nda'3a4=ra2 tin3 i3kan4 xi13xi3=ra2 lu3lu(3)=a2 kan4 tan3, i3kan4 ja143 ka4chi2=ra1 ji'4in(4)=an4 ndi4, ""¿Tan3 sa1a3 ko3o3 tan3 sa3kan4 nda3-ndi3ko4 se'1e(3)=o4 nda3-xa2a2=ra1?"".","Su esposa le dio el pedazo de tortilla y se la comió inmediatamente, después que comió le dijo a su esposa, ""¿Y cómo vamos a hacer para que regrese nuestro yerno?"".",0.7272727272727273
2013-03-29-r,2013-03-29-r_000149,Maximino Meza Teodoro,"Ti13in3 ba3 ta1 kwa1on4 ya4cha2 ka13ni3=ra2 xa'1a4 i3tun4 ka13ndi3ta3 ti4=a2 chi2, ti13in3=ra(2)=e2 tan3 ka13ni3 ndi3chi2=ra1 yu'3u4=a2 nu14u3 yu1u4, kwa1chi3 sa4ka2 ta1 ka1a3 ji'4in(4)=o4 ndi4 ta'4bi4 ndi'3i3=ra2 yu'3u4 ya4cha2 yo4o4 ka'4an4 ta1 kan4.","Ti13in3 ba3 ta1 kwa1on4 ya4cha2 ka13ni3=ra2 xa'1a4 i3tun4 ka13ndi3ta3 ti4=a2 chi2, ti13in3=ra(2)=e2 tan3 ka13ni3 ndi3chi2=ra1 yu'3u4=a2 nu14u3 yu1u4, kwa1chi3 sa4ka2 ta1 ka1a3 ji'4in(4)=o4 ndi4 ta'4bi4 ndi'3i3=ra2 yu'3u4 ya4cha2 yo4o4 ka'4an4 ta1 kan4.","El espíritu tomó el hacha y dio un golpe sobre la rama del árbol, no logró penetrar la rama, salió rechazada por el golpe, el espíritu al ver eso dio un golpe con el hacha sobre una piedra, el hombre pensó que eso dañaría su hacha.",0.7272727272727273
