cleaned_transcriptions,bpe_8000,unigram_2000,human,char_8000
"kum3pa4ri2 ndi4, mi4i4 kwa'1an(1)=e4 kan4 ndi4 ba'1a3=ni42 ka4a4 i3in3 ñu3u2 mi4i4 xa1a(1)=e4 kan4 ndi4","▁kum 3 pa 4 ri 2 ▁ndi 4, ▁mi 4 i 4 ▁kwa '1 an (1)= e 4 ▁kan 4 ▁ndi 4 ▁ba '1 a 3= ni 42 ▁ka 4 a 4 ▁i 3 in 3 ▁ñu 3 u 2 ▁mi 4 i 4 ▁xa 1 a (1)= e 4 ▁kan 4 ▁ndi 4","▁ku m 3 pa 4 ri 2 ▁ndi 4, ▁mi 4 i 4 ▁kwa '1 an (1)= e 4 ▁kan 4 ▁ndi 4 ▁ba '1 a 3= ni 4 2 ▁ka 4 a 4 ▁i 3 in 3 ▁ñu 3 u 2 ▁mi 4 i 4 ▁xa 1 a (1)= e 4 ▁kan 4 ▁ndi 4","kum3pa4ri2ndi4,mi4i4kwa'1an(1) e4kan4ndi4ba'1a3 ni42ka4a4i3in3ñu3u2mi4i4xa1a(1) e4kan4ndi4","▁ k u m 3 p a 4 r i 2 ▁ n d i 4 , ▁ m i 4 i 4 ▁ k w a ' 1 a n ( 1 ) = e 4 ▁ k a n 4 ▁ n d i 4 ▁ b a ' 1 a 3 = n i 4 2 ▁ k a 4 a 4 ▁ i 3 i n 3 ▁ ñ u 3 u 2 ▁ m i 4 i 4 ▁ x a 1 a ( 1 ) = e 4 ▁ k a n 4 ▁ n d i 4"
ya1 yo'4o4 ya1 yo'4o4 ba42 i4yo2 kan4 tan3 mi4i4 kwa'1an(1)=e4 ndu3ku(4)=e4 ya1 ko4ndo3 vida ña'1a(3)=e4 ba42 ndi4 i3kan4 i4yo2 xu'14un4 i4yo2,▁ya 1 ▁yo '4 o 4 ▁ya 1 ▁yo '4 o 4 ▁ba 42 ▁i 4 yo 2 ▁kan 4 ▁tan 3 ▁mi 4 i 4 ▁kwa '1 an (1)= e 4 ▁ndu 3 ku (4)= e 4 ▁ya 1 ▁ko 4 ndo 3 ▁vida ▁ña '1 a (3)= e 4 ▁ba 42 ▁ndi 4 ▁i 3 kan 4 ▁i 4 yo 2 ▁xu '14 un 4 ▁i 4 yo 2,▁ya 1 ▁yo '4 o 4 ▁ya 1 ▁yo '4 o 4 ▁ba 4 2 ▁i 4 yo 2 ▁kan 4 ▁tan 3 ▁mi 4 i 4 ▁kwa '1 an (1)= e 4 ▁ndu 3 ku (4)= e 4 ▁ya 1 ▁ko 4 ndo 3 ▁ vida ▁ña '1 a (3)= e 4 ▁ba 4 2 ▁ndi 4 ▁i 3 kan 4 ▁i 4 yo 2 ▁xu '1 4 un 4 ▁i 4 yo 2,ya1yo'4o4ya1yo'4o4ba42i4yo2kan4tan3mi4i4kwa'1an(1) e4ndu3ku(4) e4ya1ko4ndo3vidaña'1a(3) e4ba42ndi4i3kan4i4yo2xu'14un4i4yo2,▁ y a 1 ▁ y o ' 4 o 4 ▁ y a 1 ▁ y o ' 4 o 4 ▁ b a 4 2 ▁ i 4 y o 2 ▁ k a n 4 ▁ t a n 3 ▁ m i 4 i 4 ▁ k w a ' 1 a n ( 1 ) = e 4 ▁ n d u 3 k u ( 4 ) = e 4 ▁ y a 1 ▁ k o 4 n d o 3 ▁ v i d a ▁ ñ a ' 1 a ( 3 ) = e 4 ▁ b a 4 2 ▁ n d i 4 ▁ i 3 k a n 4 ▁ i 4 y o 2 ▁ x u ' 1 4 u n 4 ▁ i 4 y o 2
"tan3 ta1 kum3pa4ri2=ra1 kan4 ndi4, sa3kan4 xa'4an1 ba3 ta1 kan4 ji'4in4=ra2 tan3","▁tan 3 ▁ta 1 ▁kum 3 pa 4 ri 2= ra 1 ▁kan 4 ▁ndi 4, ▁sa 3 kan 4 ▁xa '4 an 1 ▁ba 3 ▁ta 1 ▁kan 4 ▁ji '4 in 4= ra 2 ▁tan 3","▁tan 3 ▁ta 1 ▁ku m 3 pa 4 ri 2= ra 1 ▁kan 4 ▁ndi 4, ▁sa 3 kan 4 ▁xa '4 an 1 ▁ba 3 ▁ta 1 ▁kan 4 ▁ji '4 in 4= ra 2 ▁tan 3","tan3ta1kum3pa4ri2 ra1kan4ndi4,sa3kan4xa'4an1ba3ta1kan4ji'4in4 ra2tan3","▁ t a n 3 ▁ t a 1 ▁ k u m 3 p a 4 r i 2 = r a 1 ▁ k a n 4 ▁ n d i 4 , ▁ s a 3 k a n 4 ▁ x a ' 4 a n 1 ▁ b a 3 ▁ t a 1 ▁ k a n 4 ▁ j i ' 4 i n 4 = r a 2 ▁ t a n 3"
"tan3 ko14o(3)=a2 kan4 i4xa3=ra2 ji'4in4 kum3pa4ri2=ra1, tan3 ta1 ko4ndo3 ta1 chi1tun3 ña1a4 ndi4","▁tan 3 ▁ko 14 o (3)= a 2 ▁kan 4 ▁i 4 xa 3= ra 2 ▁ji '4 in 4 ▁kum 3 pa 4 ri 2= ra 1, ▁tan 3 ▁ta 1 ▁ko 4 ndo 3 ▁ta 1 ▁chi 1 tun 3 ▁ña 1 a 4 ▁ndi 4","▁tan 3 ▁ko 1 4 o (3)= a 2 ▁kan 4 ▁i 4 xa 3= ra 2 ▁ji '4 in 4 ▁ku m 3 pa 4 ri 2= ra 1, ▁tan 3 ▁ta 1 ▁ko 4 ndo 3 ▁ta 1 ▁chi 1 tun 3 ▁ña 1 a 4 ▁ndi 4","tan3ko14o(3) a2kan4i4xa3 ra2ji'4in4kum3pa4ri2 ra1,tan3ta1ko4ndo3ta1chi1tun3ña1a4ndi4","▁ t a n 3 ▁ k o 1 4 o ( 3 ) = a 2 ▁ k a n 4 ▁ i 4 x a 3 = r a 2 ▁ j i ' 4 i n 4 ▁ k u m 3 p a 4 r i 2 = r a 1 , ▁ t a n 3 ▁ t a 1 ▁ k o 4 n d o 3 ▁ t a 1 ▁ c h i 1 t u n 3 ▁ ñ a 1 a 4 ▁ n d i 4"
"xu'14un4 kwa'1a4 ba1xi3 ji'4in4 ta1 ña1a4, ki4xa2a2 ji'4in4=ra2 be'3e3=ra2 tan3 ku14ni2 ta1 ña1a4 ke3-ba'1a3 kum3pa4ri2=ra1 sa3kan4 ndi4 mi3i4=ra2 ke3-ba'1a3 ku4ni2=ra1","▁xu '14 un 4 ▁kwa '1 a 4 ▁ba 1 xi 3 ▁ji '4 in 4 ▁ta 1 ▁ña 1 a 4, ▁ki 4 xa 2 a 2 ▁ji '4 in 4= ra 2 ▁be '3 e 3= ra 2 ▁tan 3 ▁ku 14 ni 2 ▁ta 1 ▁ña 1 a 4 ▁ke 3- ba '1 a 3 ▁kum 3 pa 4 ri 2= ra 1 ▁sa 3 kan 4 ▁ndi 4 ▁mi 3 i 4= ra 2 ▁ke 3- ba '1 a 3 ▁ku 4 ni 2= ra 1","▁xu '1 4 un 4 ▁kwa '1 a 4 ▁ba 1 xi 3 ▁ji '4 in 4 ▁ta 1 ▁ña 1 a 4, ▁ki 4 xa 2 a 2 ▁ji '4 in 4= ra 2 ▁be '3 e 3= ra 2 ▁tan 3 ▁ku 1 4 ni 2 ▁ta 1 ▁ña 1 a 4 ▁ke 3- ba '1 a 3 ▁ku m 3 pa 4 ri 2= ra 1 ▁sa 3 kan 4 ▁ndi 4 ▁mi 3 i 4= ra 2 ▁ke 3- ba '1 a 3 ▁ku 4 ni 2= ra 1","xu'14un4kwa'1a4ba1xi3ji'4in4ta1ña1a4,ki4xa2a2ji'4in4 ra2be'3e3 ra2tan3ku14ni2ta1ña1a4ke3ba'1a3kum3pa4ri2 ra1sa3kan4ndi4mi3i4 ra2ke3ba'1a3ku4ni2 ra1","▁ x u ' 1 4 u n 4 ▁ k w a ' 1 a 4 ▁ b a 1 x i 3 ▁ j i ' 4 i n 4 ▁ t a 1 ▁ ñ a 1 a 4 , ▁ k i 4 x a 2 a 2 ▁ j i ' 4 i n 4 = r a 2 ▁ b e ' 3 e 3 = r a 2 ▁ t a n 3 ▁ k u 1 4 n i 2 ▁ t a 1 ▁ ñ a 1 a 4 ▁ k e 3 - b a ' 1 a 3 ▁ k u m 3 p a 4 r i 2 = r a 1 ▁ s a 3 k a n 4 ▁ n d i 4 ▁ m i 3 i 4 = r a 2 ▁ k e 3 - b a ' 1 a 3 ▁ k u 4 n i 2 = r a 1"
ni1-xa'1an1=na1 i3in3 ñu3u2 kan4 tan3,▁ni 1- xa '1 an 1= na 1 ▁i 3 in 3 ▁ñu 3 u 2 ▁kan 4 ▁tan 3,▁ni 1- xa '1 an 1= na 1 ▁i 3 in 3 ▁ñu 3 u 2 ▁kan 4 ▁tan 3,ni1xa'1an1 na1i3in3ñu3u2kan4tan3,▁ n i 1 - x a ' 1 a n 1 = n a 1 ▁ i 3 i n 3 ▁ ñ u 3 u 2 ▁ k a n 4 ▁ t a n 3
"ni1-xa1a1=na1, ka4chi2=ra1 ji'4in4 kum3pa4ri2=ra1 ndi4","▁ni 1- xa 1 a 1= na 1, ▁ka 4 chi 2= ra 1 ▁ji '4 in 4 ▁kum 3 pa 4 ri 2= ra 1 ▁ndi 4","▁ni 1- xa 1 a 1= na 1, ▁ka 4 chi 2= ra 1 ▁ji '4 in 4 ▁ku m 3 pa 4 ri 2= ra 1 ▁ndi 4","ni1xa1a1 na1,ka4chi2 ra1ji'4in4kum3pa4ri2 ra1ndi4","▁ n i 1 - x a 1 a 1 = n a 1 , ▁ k a 4 c h i 2 = r a 1 ▁ j i ' 4 i n 4 ▁ k u m 3 p a 4 r i 2 = r a 1 ▁ n d i 4"
"kum3pa4ri2, ba'1a3=ni42 ni1-ku3ni2 ndio4si2 ndi4, ba1xi(3)=o4 ji'4in(4)=2 yo'4o4 tan3 ndi4","▁kum 3 pa 4 ri 2, ▁ba '1 a 3= ni 42 ▁ni 1- ku 3 ni 2 ▁ndio 4 si 2 ▁ndi 4, ▁ba 1 xi (3)= o 4 ▁ji '4 in (4)=2 ▁yo '4 o 4 ▁tan 3 ▁ndi 4","▁ku m 3 pa 4 ri 2, ▁ba '1 a 3= ni 4 2 ▁ni 1- ku 3 ni 2 ▁ndi o 4 si 2 ▁ndi 4, ▁ba 1 xi (3)= o 4 ▁ji '4 in (4)= 2 ▁yo '4 o 4 ▁tan 3 ▁ndi 4","kum3pa4ri2,ba'1a3 ni42ni1ku3ni2ndio4si2ndi4,ba1xi(3) o4ji'4in(4) 2yo'4o4tan3ndi4","▁ k u m 3 p a 4 r i 2 , ▁ b a ' 1 a 3 = n i 4 2 ▁ n i 1 - k u 3 n i 2 ▁ n d i o 4 s i 2 ▁ n d i 4 , ▁ b a 1 x i ( 3 ) = o 4 ▁ j i ' 4 i n ( 4 ) = 2 ▁ y o ' 4 o 4 ▁ t a n 3 ▁ n d i 4"
su14u(3)=a2 ba'1a3 bi4 i4yo2 yo'4o4 ndi4 ba143 ba'1a3 ka4a4 tu1ni4ni2 yo'4o4 ndi4,▁su 14 u (3)= a 2 ▁ba '1 a 3 ▁bi 4 ▁i 4 yo 2 ▁yo '4 o 4 ▁ndi 4 ▁ba 143 ▁ba '1 a 3 ▁ka 4 a 4 ▁tu 1 ni 4 ni 2 ▁yo '4 o 4 ▁ndi 4,▁su 1 4 u (3)= a 2 ▁ba '1 a 3 ▁bi 4 ▁i 4 yo 2 ▁yo '4 o 4 ▁ndi 4 ▁ba 143 ▁ba '1 a 3 ▁ka 4 a 4 ▁tu 1 ni 4 ni 2 ▁yo '4 o 4 ▁ndi 4,su14u(3) a2ba'1a3bi4i4yo2yo'4o4ndi4ba143ba'1a3ka4a4tu1ni4ni2yo'4o4ndi4,▁ s u 1 4 u ( 3 ) = a 2 ▁ b a ' 1 a 3 ▁ b i 4 ▁ i 4 y o 2 ▁ y o ' 4 o 4 ▁ n d i 4 ▁ b a 1 4 3 ▁ b a ' 1 a 3 ▁ k a 4 a 4 ▁ t u 1 n i 4 n i 2 ▁ y o ' 4 o 4 ▁ n d i 4
bi1xin3=ni42 tan3 kwa'1an1 i3in3 xa1a1 i3in3 momento ndi4,▁bi 1 xin 3= ni 42 ▁tan 3 ▁kwa '1 an 1 ▁i 3 in 3 ▁xa 1 a 1 ▁i 3 in 3 ▁momento ▁ndi 4,▁bi 1 xin 3= ni 4 2 ▁tan 3 ▁kwa '1 an 1 ▁i 3 in 3 ▁xa 1 a 1 ▁i 3 in 3 ▁m omen to ▁ndi 4,bi1xin3 ni42tan3kwa'1an1i3in3xa1a1i3in3momentondi4,▁ b i 1 x i n 3 = n i 4 2 ▁ t a n 3 ▁ k w a ' 1 a n 1 ▁ i 3 i n 3 ▁ x a 1 a 1 ▁ i 3 i n 3 ▁ m o m e n t o ▁ n d i 4
"ki1bi4 ndi3ko4 yo4o4 ndi4, be1e3 ki3xi(3)=o4 tan3 ku1sun(1)=o4i3chi4 tan3","▁ki 1 bi 4 ▁ndi 3 ko 4 ▁yo 4 o 4 ▁ndi 4, ▁be 1 e 3 ▁ki 3 xi (3)= o 4 ▁tan 3 ▁ku 1 sun (1)= o 4 i 3 chi 4 ▁tan 3","▁ki 1 bi 4 ▁ndi 3 ko 4 ▁yo 4 o 4 ▁ndi 4, ▁be 1 e 3 ▁ki 3 xi (3)= o 4 ▁tan 3 ▁ku 1 sun (1)= o 4 i 3 chi 4 ▁tan 3","ki1bi4ndi3ko4yo4o4ndi4,be1e3ki3xi(3) o4tan3ku1sun(1) o4i3chi4tan3","▁ k i 1 b i 4 ▁ n d i 3 k o 4 ▁ y o 4 o 4 ▁ n d i 4 , ▁ b e 1 e 3 ▁ k i 3 x i ( 3 ) = o 4 ▁ t a n 3 ▁ k u 1 s u n ( 1 ) = o 4 i 3 c h i 4 ▁ t a n 3"
"tan3 bi3tin3 ndi4 na4 xa1a(1)=e4 siuda kan4 ndi4, ñu3u2 ka'4nu3 kan4 ndi4","▁tan 3 ▁bi 3 tin 3 ▁ndi 4 ▁na 4 ▁xa 1 a (1)= e 4 ▁siuda ▁kan 4 ▁ndi 4, ▁ñu 3 u 2 ▁ka '4 nu 3 ▁kan 4 ▁ndi 4","▁tan 3 ▁bi 3 tin 3 ▁ndi 4 ▁na 4 ▁xa 1 a (1)= e 4 ▁si u da ▁kan 4 ▁ndi 4, ▁ñu 3 u 2 ▁ka '4 nu 3 ▁kan 4 ▁ndi 4","tan3bi3tin3ndi4na4xa1a(1) e4siudakan4ndi4,ñu3u2ka'4nu3kan4ndi4","▁ t a n 3 ▁ b i 3 t i n 3 ▁ n d i 4 ▁ n a 4 ▁ x a 1 a ( 1 ) = e 4 ▁ s i u d a ▁ k a n 4 ▁ n d i 4 , ▁ ñ u 3 u 2 ▁ k a ' 4 n u 3 ▁ k a n 4 ▁ n d i 4"
máscara sa3ta(4)=on4 sa3kan4 ndi4 chi3ka2=on4=a2 nu14u(3)=un4 tan3,▁máscara ▁sa 3 ta (4)= on 4 ▁sa 3 kan 4 ▁ndi 4 ▁chi 3 ka 2= on 4= a 2 ▁nu 14 u (3)= un 4 ▁tan 3,▁máscara ▁sa 3 ta (4)= on 4 ▁sa 3 kan 4 ▁ndi 4 ▁chi 3 ka 2= on 4= a 2 ▁nu 1 4 u (3)= un 4 ▁tan 3,máscarasa3ta(4) on4sa3kan4ndi4chi3ka2 on4 a2nu14u(3) un4tan3,▁ m á s c a r a ▁ s a 3 t a ( 4 ) = o n 4 ▁ s a 3 k a n 4 ▁ n d i 4 ▁ c h i 3 k a 2 = o n 4 = a 2 ▁ n u 1 4 u ( 3 ) = u n 4 ▁ t a n 3
"ya1 kan4 ndi4 kwi3i3 ki'1bi3 yo4o4 kan4 na4tu2 na1 kwa'1an1 ku4u(4)=e4, a1chi1 ndi4 na1 kan4 ndi4 nda4si2 nu14u3=na2 ji'4in(4)=a2 bi1xin3","▁ya 1 ▁kan 4 ▁ndi 4 ▁kwi 3 i 3 ▁ki '1 bi 3 ▁yo 4 o 4 ▁kan 4 ▁na 4 tu 2 ▁na 1 ▁kwa '1 an 1 ▁ku 4 u (4)= e 4, ▁a 1 chi 1 ▁ndi 4 ▁na 1 ▁kan 4 ▁ndi 4 ▁nda 4 si 2 ▁nu 14 u 3= na 2 ▁ji '4 in (4)= a 2 ▁bi 1 xin 3","▁ya 1 ▁kan 4 ▁ndi 4 ▁kwi 3 i 3 ▁ki '1 bi 3 ▁yo 4 o 4 ▁kan 4 ▁na 4 tu 2 ▁na 1 ▁kwa '1 an 1 ▁ku 4 u (4)= e 4, ▁a 1 chi 1 ▁ndi 4 ▁na 1 ▁kan 4 ▁ndi 4 ▁nda 4 si 2 ▁nu 1 4 u 3= na 2 ▁ji '4 in (4)= a 2 ▁bi 1 xin 3","ya1kan4ndi4kwi3i3ki'1bi3yo4o4kan4na4tu2na1kwa'1an1ku4u(4) e4,a1chi1ndi4na1kan4ndi4nda4si2nu14u3 na2ji'4in(4) a2bi1xin3","▁ y a 1 ▁ k a n 4 ▁ n d i 4 ▁ k w i 3 i 3 ▁ k i ' 1 b i 3 ▁ y o 4 o 4 ▁ k a n 4 ▁ n a 4 t u 2 ▁ n a 1 ▁ k w a ' 1 a n 1 ▁ k u 4 u ( 4 ) = e 4 , ▁ a 1 c h i 1 ▁ n d i 4 ▁ n a 1 ▁ k a n 4 ▁ n d i 4 ▁ n d a 4 s i 2 ▁ n u 1 4 u 3 = n a 2 ▁ j i ' 4 i n ( 4 ) = a 2 ▁ b i 1 x i n 3"
"ni1-xa1a1 ba3=na2 kan4 ni1-sa3ta4=ra2 máscara kan4 sa13ta4=ra2,","▁ni 1- xa 1 a 1 ▁ba 3= na 2 ▁kan 4 ▁ni 1- sa 3 ta 4= ra 2 ▁máscara ▁kan 4 ▁sa 13 ta 4= ra 2,","▁ni 1- xa 1 a 1 ▁ba 3= na 2 ▁kan 4 ▁ni 1- sa 3 ta 4= ra 2 ▁máscara ▁kan 4 ▁sa 1 3 ta 4= ra 2,","ni1xa1a1ba3 na2kan4ni1sa3ta4 ra2máscarakan4sa13ta4 ra2,","▁ n i 1 - x a 1 a 1 ▁ b a 3 = n a 2 ▁ k a n 4 ▁ n i 1 - s a 3 t a 4 = r a 2 ▁ m á s c a r a ▁ k a n 4 ▁ s a 1 3 t a 4 = r a 2 ,"
"tan3 ta1, ko4ndo3 kum3pa4ri2=ra1 ta1 ka'4an2 ya1 ba'14a4 kan4 ji'4in4=ra2 ndi4","▁tan 3 ▁ta 1, ▁ko 4 ndo 3 ▁kum 3 pa 4 ri 2= ra 1 ▁ta 1 ▁ka '4 an 2 ▁ya 1 ▁ba '14 a 4 ▁kan 4 ▁ji '4 in 4= ra 2 ▁ndi 4","▁tan 3 ▁ta 1, ▁ko 4 ndo 3 ▁ku m 3 pa 4 ri 2= ra 1 ▁ta 1 ▁ka '4 an 2 ▁ya 1 ▁ba '1 4 a 4 ▁kan 4 ▁ji '4 in 4= ra 2 ▁ndi 4","tan3ta1,ko4ndo3kum3pa4ri2 ra1ta1ka'4an2ya1ba'14a4kan4ji'4in4 ra2ndi4","▁ t a n 3 ▁ t a 1 , ▁ k o 4 n d o 3 ▁ k u m 3 p a 4 r i 2 = r a 1 ▁ t a 1 ▁ k a ' 4 a n 2 ▁ y a 1 ▁ b a ' 1 4 a 4 ▁ k a n 4 ▁ j i ' 4 i n 4 = r a 2 ▁ n d i 4"
